-0.93,0.30,-0.19
-0.98,0.38,-0.17
-0.88,0.28,-0.19
-0.93,0.27,-0.22
-0.91,0.22,-0.15
-0.92,0.22,-0.14
-0.93,0.20,-0.17
-1.17,0.57,-0.31
-1.17,0.35,-0.45
-1.15,0.37,-0.24
-0.72,-0.04,-0.06
-0.46,-0.14,-0.03
-0.77,0.34,-0.35
-0.73,0.01,-0.41
-0.66,0.21,-0.52
-0.74,0.09,-0.55
-0.62,0.09,-0.51
-0.68,0.15,-0.56
-0.60,0.01,-0.47
-0.73,-0.06,-0.42
-0.75,0.19,-0.48
-0.73,0.10,-0.49
-0.71,0.05,-0.46
-0.66,-0.05,-0.48
-0.59,-0.18,-0.45
-0.74,-0.10,-0.46
-0.79,-0.08,-0.49
-0.67,-0.03,-0.49
-0.75,-0.10,-0.54
-0.60,-0.16,-0.47
-0.63,-0.19,-0.44
-0.70,-0.25,-0.43
-0.65,-0.35,-0.40
-0.69,-0.32,-0.39
-0.75,-0.46,-0.37
-0.79,-0.37,-0.26
-0.89,-0.34,-0.24
-0.78,-0.44,-0.19
-0.87,-0.53,-0.21
-0.85,-0.42,-0.19
-0.78,-0.44,-0.17
-0.81,-0.52,-0.10
-0.92,-0.52,-0.06
-1.03,-0.40,-0.08
-0.95,-0.53,-0.06
-1.01,-0.46,-0.04
-0.97,-0.45,-0.05
-1.12,-0.36,-0.01
-1.21,-0.31,0.08
-1.33,-0.27,0.15
-1.24,-0.37,0.19
-1.02,-0.47,0.16
-1.01,-0.41,0.08
-1.00,-0.39,0.07
-1.01,-0.41,0.07
-1.02,-0.39,0.14
-1.06,-0.38,0.13
-0.88,-0.46,0.07
-1.06,-0.33,0.20
-1.16,0.00,-0.01
-1.06,-0.31,0.05
-0.96,-0.29,-0.06
-0.91,-0.28,0.01
-0.78,-0.31,-0.04
-0.92,-0.30,-0.07
-0.97,-0.11,-0.07
-1.03,-0.12,-0.02
-0.94,-0.20,-0.04
-0.96,-0.26,-0.06
-0.93,-0.22,-0.05
-1.05,-0.04,-0.05
-0.88,-0.13,-0.05
-1.02,-0.11,0.01
-1.00,-0.10,0.03
-1.22,0.05,0.07
-1.18,0.04,0.04
-1.17,0.07,0.01
-1.23,0.08,0.04
-1.29,0.24,0.06
-1.24,0.18,0.00
-1.10,0.05,-0.01
-0.94,-0.02,-0.04
-0.95,0.11,-0.10
-1.01,0.16,-0.11
-0.94,0.16,-0.10
-1.03,0.24,-0.08
-0.81,0.12,-0.11
-0.86,0.21,-0.15
-0.79,0.21,-0.16
-0.84,0.25,-0.18
-0.79,0.17,-0.22
-0.85,0.06,-0.23
-0.83,0.12,-0.27
-0.87,0.20,-0.27
-0.78,0.20,-0.30
-0.80,0.18,-0.32
-0.76,0.08,-0.35
-0.71,0.08,-0.37
-0.78,0.12,-0.37
-0.85,0.19,-0.40
-0.88,0.07,-0.38
-0.81,0.08,-0.34
-0.72,-0.01,-0.31
-0.64,-0.02,-0.36
-0.67,-0.02,-0.37
-0.60,-0.21,-0.34
-0.61,-0.23,-0.34
-0.71,-0.21,-0.37
-0.64,-0.09,-0.40
-0.73,-0.18,-0.42
-0.60,-0.28,-0.36
-0.71,-0.28,-0.33
-0.65,-0.28,-0.32
-0.73,-0.22,-0.32
-0.69,-0.27,-0.35
-0.73,-0.34,-0.31
-0.70,-0.42,-0.25
-0.86,-0.41,-0.24
-0.82,-0.50,-0.20
-0.83,-0.53,-0.18
-0.77,-0.41,-0.17
-0.89,-0.34,-0.13
-0.97,-0.32,-0.08
-1.03,-0.33,-0.02
-0.96,-0.42,0.03
-1.00,-0.37,0.00
-1.07,-0.33,0.01
-1.05,-0.38,0.03
-0.97,-0.45,0.06
-1.02,-0.41,0.09
-1.06,-0.39,0.12
-1.04,-0.29,0.12
-1.00,-0.34,0.13
-1.01,-0.33,0.16
-1.04,-0.28,0.18
-0.96,-0.31,0.17
-0.91,-0.30,0.19
-0.93,-0.31,0.16
-0.99,-0.24,0.15
-1.03,-0.22,0.19
-0.98,-0.22,0.20
-0.92,-0.22,0.20
-0.96,-0.25,0.21
-0.96,-0.27,0.24
-0.96,-0.23,0.23
-0.97,-0.23,0.23
-1.01,-0.16,0.25
-1.05,-0.13,0.24
-1.06,-0.09,0.24
-1.05,-0.14,0.26
-1.01,-0.17,0.26
-1.03,-0.07,0.23
-1.06,-0.11,0.24
-1.08,-0.07,0.25
-1.07,-0.04,0.22
-1.02,-0.04,0.24
-1.04,-0.01,0.22
-1.11,0.07,0.21
-1.05,-0.02,0.22
-1.05,0.02,0.18
-1.08,0.08,0.15
-1.04,0.07,0.15
-1.04,0.15,0.11
-1.08,0.15,0.07
